0
1
2,6706
4,6232
6,7248
8,8828
11,3166
13,732
16,1736
18,9712
21,5864
24,3644
27,2278
30,02
33,2662
36,1452
39,435
42,2692
46,0336
49,7736
52,621
56,1508
59,7174
63,8872
67,2074
70,4104
73,8158
78,2372
82,2404
85,8252
90,4498
94,494
97,9114
103,3896
106,8024
110,1644
114,503
120,092
123,093
126,9624
133,071
135,4656
143,2512
145,8876
151,8946
155,3836
158,0086
164,3412
169,2554
175,2268
178,929
185,4016
190,6934
194,3316
200,965
203,2168
208,374
215,4652
220,153
225,038
229,7514
234,8484
244,4754
247,332
249,8914
257,1784
260,45
269,9684
274,7932
279,8156
288,8928
288,828
292,4032
298,6068
307,5536
317,3944
318,148
327,61
333,1264
336,8772
343,5114
350,8664
357,345
365,2736
371,9342
369,5424
380,4136
393,342
391,3872
399,8848
407,2102
414,5984
418,2954
425,9836
432,2646
440,0896
443,6806
455,5928
457,5442
468,2008
476,1696
